#Name Omega_m    sigma_8    A_SN1      A_AGN1     A_SN2      A_AGN2   Omega_b    seed
SB7_0 0.16218600 0.84301300 0.48957400 2.60766400 0.71952700 1.626260 0.05710000 12000
SB7_1 0.31613100 0.75012600 1.04372800 0.48895900 1.16693600 0.412423 0.01680800 12001
SB7_2 0.49819400 0.92322500 0.53171500 0.77634500 1.69003300 3.869353 0.08976200 12002
SB7_3 0.23011700 0.68329300 3.68107000 1.15348700 0.70451600 0.980635 0.04884500 12003
SB7_4 0.28524900 0.73790400 2.17763700 1.48610900 0.98993800 2.313429 0.07012000 12004
SB7_5 0.44229400 0.85596700 0.93855500 0.50602700 1.19942600 0.592592 0.03096200 12005
SB7_6 0.37438800 0.62046000 1.92520100 0.31145200 1.66317800 1.375997 0.06309400 12006
SB7_7 0.10316100 0.98522700 0.25415200 3.42854300 0.50618000 0.352220 0.02330900 12007
SB7_8 0.12975400 0.63864600 0.80634600 0.35782000 0.59918900 2.514879 0.08091100 12008
SB7_9 0.39778200 0.95493300 2.42700200 2.10172400 1.98778400 0.648212 0.04050300 12009
SB7_10 0.41581000 0.72169000 0.32246000 1.21219600 1.01489700 1.057790 0.05357200 12010
SB7_11 0.26172000 0.88507200 1.58442900 0.88094400 0.82759800 0.272456 0.01253800 12011
SB7_12 0.20357200 0.94296100 1.26856800 0.69150200 0.58341500 1.769517 0.06630900 12012
SB7_13 0.47475000 0.65144700 0.38569500 1.84394000 1.44348900 0.450790 0.02726700 12013
SB7_14 0.34276000 0.82209900 3.30359700 3.26261500 1.41175600 2.976812 0.07928300 12014
SB7_15 0.18556800 0.78393100 0.61864600 0.27448700 0.84133500 0.757856 0.03961600 12015
SB7_16 0.18869400 0.96652600 1.81995600 1.03024600 1.52580600 0.370472 0.07715500 12016
SB7_17 0.33338500 0.62656300 0.28073200 0.76536800 0.55029600 1.518260 0.03674400 12017
SB7_18 0.45287500 0.89966700 2.30027800 0.43022300 0.90632600 0.881460 0.06980600 12018
SB7_19 0.21919800 0.70680000 0.85077800 2.58146500 1.31371400 3.610019 0.02877000 12019
SB7_20 0.26484500 0.66459100 0.58572800 3.92147300 1.86470500 0.532302 0.05007700 12020
SB7_21 0.40643600 0.92932800 3.48922100 0.33725500 0.63675600 2.159842 0.01103300 12021
SB7_22 0.37590800 0.79382700 0.44498800 0.58790700 0.77425300 0.316605 0.08304200 12022
SB7_23 0.14537900 0.81190800 1.09952100 1.60148300 1.08732600 1.283746 0.04337200 12023
SB7_24 0.11878600 0.76513100 2.99892900 0.95391500 1.27148100 0.688691 0.06084900 12024
SB7_25 0.35251300 0.82849500 0.65265500 1.38648200 0.93674700 2.807314 0.02055500 12025
SB7_26 0.43291900 0.69524600 1.39565700 2.26488200 0.54389800 0.289672 0.07350100 12026
SB7_27 0.28837400 0.91156300 0.36611900 0.41572500 1.54427500 1.179969 0.03258100 12027
SB7_28 0.24574200 0.86627200 0.34111000 0.27060200 1.09820900 0.478950 0.08638400 12028
SB7_29 0.47631800 0.72808500 1.43442400 2.91404500 0.76684000 1.975242 0.04722300 12029
SB7_30 0.30675500 0.99873100 0.76336400 1.82540600 0.65765500 0.805727 0.05934700 12030
SB7_31 0.16531100 0.60724900 2.67743200 0.60844500 1.80605800 3.320715 0.01956100 12031
SB7_32 0.16994300 0.71250600 1.17804200 3.59992800 1.59506300 0.864359 0.08775200 12032
SB7_33 0.30213100 0.88058700 0.43373300 0.30975900 0.52654700 3.375653 0.04867100 12033
SB7_34 0.48413000 0.64586800 3.53178000 0.53705900 0.94682300 0.363306 0.05540400 12034
SB7_35 0.23795000 0.96060400 0.55416200 1.46222500 1.25787000 1.419844 0.01569800 12035
SB7_36 0.29609900 0.81839600 0.90680700 1.12262500 1.78676200 0.307498 0.06440000 12036
SB7_37 0.42518600 0.77552800 2.25399400 0.83300800 0.66480000 1.212155 0.02418700 12037
SB7_38 0.35715500 0.94785100 0.28887000 0.47078800 0.74239200 0.516957 0.07236400 12038
SB7_39 0.11412400 0.65788900 1.69390700 2.82820300 1.13444700 2.039173 0.03152500 12039
SB7_40 0.13753100 0.91755600 2.73946900 0.29451700 1.32806900 0.282521 0.05394100 12040
SB7_41 0.38376000 0.67607400 0.71441100 3.17533800 0.89647300 1.109321 0.01497800 12041
SB7_42 0.40167000 0.84750000 1.52025000 1.99987900 0.56849000 0.671759 0.08159200 12042
SB7_43 0.26962800 0.75931400 0.33609100 0.66581400 1.47688100 2.639403 0.04200300 12043
SB7_44 0.21449400 0.61402200 0.37262900 0.87614200 1.05248300 0.795425 0.07821100 12044
SB7_45 0.45757400 0.98034000 1.31297900 1.27279700 0.79993600 3.084836 0.03788000 12045
SB7_46 0.32550200 0.74631000 0.70311800 2.06793600 0.62984600 0.472779 0.06617500 12046
SB7_47 0.19656000 0.85967300 2.90654900 0.37976900 1.88528000 1.834817 0.02521900 12047
SB7_48 0.18093500 0.68918600 0.26794800 1.62763700 0.81860100 3.758015 0.06768000 12048
SB7_49 0.34737600 0.90395400 1.90684400 0.55393700 1.02598600 0.925819 0.02871400 12049
SB7_50 0.46694900 0.76922800 0.97619500 0.33909800 1.92404200 1.579566 0.07534100 12050
SB7_51 0.21136900 0.83729100 2.00481200 3.73479000 0.61900100 0.389412 0.03575000 12051
SB7_52 0.25400200 0.99190300 3.98655900 2.38016000 0.86924400 1.349426 0.08446400 12052
SB7_53 0.42354500 0.60197000 0.51264100 0.44683000 1.36651500 0.329370 0.04413100 12053
SB7_54 0.39313500 0.87428700 1.04499000 0.71330400 1.45941400 2.268617 0.05243900 12054
SB7_55 0.13440600 0.73140200 0.46819500 1.05857100 0.57708500 0.554091 0.01148000 12055
SB7_56 0.11099900 0.89087400 0.62291500 0.63192100 0.68204000 1.044102 0.07398600 12056
SB7_57 0.36653000 0.70270600 3.14200400 1.68306700 1.74561700 0.253095 0.03490300 12057
SB7_58 0.44706200 0.97413800 0.42007700 2.99414800 1.15444500 2.482597 0.06164800 12058
SB7_59 0.28047400 0.63262600 1.21634800 0.25219800 0.72726600 0.602187 0.02193900 12059
SB7_60 0.23482500 0.79051400 1.63893200 0.39169800 0.51167800 2.903534 0.05815900 12060
SB7_61 0.49350600 0.80389600 0.29855600 2.30188100 1.64541100 0.712562 0.01794300 12061
SB7_62 0.32400600 0.66987200 2.54472400 1.32047200 1.23900600 1.725776 0.08613200 12062
SB7_63 0.15431800 0.93615900 0.80319900 0.95914200 0.95837600 0.423822 0.04529100 12063
SB7_64 0.15239200 0.65392900 3.20796000 0.29960300 0.58835500 0.320920 0.07171200 12064
SB7_65 0.31890700 0.93916100 0.63705500 3.55938600 1.42749800 1.266487 0.03189000 12065
SB7_66 0.48840000 0.78726600 1.18921300 1.42053200 1.39793400 0.539555 0.06406100 12066
SB7_67 0.23289300 0.81920300 0.41141000 0.53299400 0.85195700 2.130803 0.02486200 12067
SB7_68 0.27619800 0.95199400 0.30534500 0.80842900 0.60467900 0.903201 0.05613300 12068
SB7_69 0.44586200 0.64192600 1.67332900 1.11223900 1.96441200 3.523121 0.01525500 12069
SB7_70 0.36533700 0.88142500 0.78661400 2.72349000 1.00429100 0.379609 0.08817000 12070
SB7_71 0.10672900 0.72431100 2.48801500 0.46375900 0.83860500 1.481712 0.04791700 12071
SB7_72 0.13321300 0.85272900 1.86514300 3.14594400 0.98024100 0.830083 0.06536100 12072
SB7_73 0.38886600 0.74089800 0.26234900 0.28583100 1.21457600 3.223278 0.02573400 12073
SB7_74 0.41926900 0.98264900 2.04775200 0.65586200 1.67727100 0.493429 0.07771100 12074
SB7_75 0.25280300 0.62416200 0.99813800 1.92584500 0.50057000 1.917283 0.03870800 12075
SB7_76 0.20626400 0.75387100 0.50193500 1.25845600 0.71200400 0.295214 0.08248400 12076
SB7_77 0.46501700 0.84048900 3.89926300 0.84743100 1.18246300 1.157819 0.04141100 12077
SB7_78 0.34545100 0.68613400 0.47870100 0.37688800 1.70552500 0.701867 0.05452000 12078
SB7_79 0.17583600 0.91984700 1.06737900 2.00898300 0.69622900 2.754617 0.01407100 12079
SB7_80 0.19771100 0.73061000 0.72970600 0.55740600 1.10981800 1.409935 0.05161000 12080
SB7_81 0.32982600 0.86252800 2.80101900 1.67314700 0.75676700 0.343741 0.01198000 12081
SB7_82 0.46189200 0.61062600 0.32873700 3.78243600 0.65169200 2.370491 0.08395000 12082
SB7_83 0.21563800 0.99589000 1.48846400 0.35106800 1.82752600 0.578328 0.04494400 12083
SB7_84 0.27467800 0.82550100 1.34245700 0.45298800 1.28403900 3.922079 0.07624700 12084
SB7_85 0.40364400 0.76836900 0.38061600 2.46833500 0.92507700 0.967451 0.03517200 12085
SB7_86 0.38574100 0.90786200 2.84588700 1.06990100 0.53932600 1.648422 0.06827300 12086
SB7_87 0.14258800 0.69782400 0.68773000 0.73598800 1.56159100 0.406879 0.02782200 12087
SB7_88 0.11610500 0.92604700 0.42406100 1.74540800 1.84778700 3.033763 0.08545600 12088
SB7_89 0.36221200 0.66753000 1.15374600 0.64064100 0.64432800 0.743629 0.04563100 12089
SB7_90 0.43023700 0.80928700 0.56580200 0.26021400 0.78244100 1.803370 0.05779500 12090
SB7_91 0.29807300 0.79747300 3.61198900 3.02621000 1.07303700 0.442327 0.01859400 12091
SB7_92 0.24226800 0.63036200 2.20743100 2.36623000 1.51297000 1.089767 0.06240100 12092
SB7_93 0.48527500 0.96404400 0.88659200 0.39415700 0.55646900 0.264461 0.02152100 12093
SB7_94 0.30328200 0.70969600 1.73240300 0.99298300 0.91528300 2.590902 0.07442900 12094
SB7_95 0.17426700 0.89633300 0.29492900 1.33732500 1.29734100 0.629192 0.03417300 12095
SB7_96 0.16645600 0.97658900 0.66657300 0.49219900 1.06145200 2.213998 0.06345300 12096
SB7_97 0.31107400 0.61655200 3.06606200 2.67972000 0.79103200 0.567761 0.02265400 12097
SB7_98 0.48064300 0.85682700 0.35808400 1.16783600 0.62371300 1.316938 0.07079100 12098
SB7_99 0.24689200 0.74969400 1.36638300 0.80403500 1.90898200 0.337496 0.03061700 12099
SB7_100 0.29343100 0.67930600 1.46649800 0.51318600 1.34027800 1.558320 0.08932400 12100
SB7_101 0.43490000 0.91456900 0.34839100 1.54067200 0.88590400 0.394721 0.04957900 12101
SB7_102 0.35448800 0.76188600 2.62128600 3.46415300 0.56256700 3.707473 0.05635100 12102
SB7_103 0.12383700 0.84380500 0.74658100 0.32147100 1.49647600 0.938440 0.01723100 12103
SB7_104 0.14735400 0.77847300 0.27449100 2.17887900 1.76935200 1.693371 0.07980200 12104
SB7_105 0.38095800 0.81510900 1.78254700 0.36288800 0.67316100 0.431933 0.03880800 12105
SB7_106 0.41149200 0.66154100 0.86871500 0.90926800 0.74872200 2.849013 0.06714200 12106
SB7_107 0.26682500 0.94522400 2.35270400 1.22479300 1.12181400 0.726199 0.02677200 12107
SB7_108 0.22352200 0.87811200 3.41748000 1.89488300 1.57843600 2.409741 0.05297400 12108
SB7_109 0.45402500 0.71629900 0.57272700 0.69609400 0.53353600 0.620394 0.01342500 12109
SB7_110 0.33452900 0.95727500 1.12461200 0.28427300 0.95553300 1.013461 0.08000000 12110
SB7_111 0.19301200 0.64875700 0.45436400 3.30321900 1.24303400 0.260747 0.04107600 12111
SB7_112 0.18363700 0.80010200 2.47820200 0.74000900 0.51706000 0.510005 0.08353700 12112
SB7_113 0.33765500 0.79298900 0.82473300 1.01896900 1.62388200 2.066973 0.04254000 12113
SB7_114 0.46965100 0.93326900 1.54921900 2.50864500 1.22770600 0.303362 0.05088600 12114
SB7_115 0.20164700 0.67320100 0.31583500 0.42681500 0.96981900 1.228679 0.01051400 12115
SB7_116 0.25745100 0.70599300 0.39449200 0.32718600 0.68875400 0.354560 0.06923300 12116
SB7_117 0.41461800 0.88792900 1.29527900 3.88642900 1.72392600 1.454873 0.02968100 12117
SB7_118 0.39658300 0.63525200 0.60592000 1.54267200 1.14470400 0.843547 0.07626900 12118
SB7_119 0.12547900 0.97048500 3.23023800 0.57892200 0.73544400 3.458930 0.03734100 12119
SB7_120 0.10196200 0.60495800 1.02080900 1.37408500 0.86131200 0.458903 0.05969200 12120
SB7_121 0.37011200 0.98867000 0.47930000 0.92545000 1.38283900 1.890290 0.01889000 12121
SB7_122 0.43802400 0.73509700 3.75954200 0.40936500 1.47477200 0.772082 0.08704000 12122
SB7_123 0.28405600 0.87171500 0.54361300 2.18172000 0.56953100 3.178105 0.04686300 12123
SB7_124 0.22501700 0.90142400 0.91888300 2.88213200 0.81168900 0.659146 0.07307800 12124
SB7_125 0.49626800 0.69293700 2.12978700 0.26164000 1.03752800 2.689912 0.03333100 12125
SB7_126 0.31419900 0.83390700 0.25983700 0.60361500 1.94299400 0.277216 0.06011500 12126
SB7_127 0.15708000 0.77207500 1.96631000 1.77392300 0.61130600 1.130549 0.02099200 12127
SB7_128 0.15908500 0.90676300 0.31745300 0.52247700 1.26248900 0.799286 0.08135500 12128
SB7_129 0.31297700 0.69965600 1.60942800 1.43739400 0.94088800 3.136894 0.04223200 12129
SB7_130 0.49495200 0.82664800 0.82004300 3.54362000 0.52456000 0.475435 0.05431800 12130
SB7_131 0.22711600 0.76658600 2.38650000 0.30175400 1.60558300 1.864675 0.01457100 12131
SB7_132 0.28215300 0.61182300 3.35798400 0.46295400 1.12719300 0.280953 0.06580000 12132
SB7_133 0.43914500 0.99376500 0.60862300 2.75046200 0.74508600 1.091701 0.02562300 12133
SB7_134 0.37113800 0.72936400 1.24822000 1.09325400 0.66909800 0.668427 0.07845200 12134
SB7_135 0.10015300 0.86460300 0.39197600 0.82024800 1.77994500 2.595505 0.03765000 12135
SB7_136 0.12669700 0.71157600 0.52292200 1.94492700 1.48757900 0.305675 0.05500900 12136
SB7_137 0.39458200 0.89528200 3.74290900 0.65472700 0.56597900 1.193154 0.01608200 12137
SB7_138 0.41251500 0.62843300 0.49738000 0.29000900 0.89022300 0.514284 0.08797300 12138
SB7_139 0.25877000 0.96504600 1.02734200 3.09223100 1.33388900 2.006022 0.04842100 12139
SB7_140 0.20052300 0.80730900 1.95625400 2.03284300 1.87671500 0.868958 0.07214600 12140
SB7_141 0.47155700 0.79881600 0.25012100 0.36945400 0.63438300 3.431601 0.03177300 12141
SB7_142 0.33946000 0.92807400 2.14200400 0.85351000 0.80334100 0.365455 0.06479600 12142
SB7_143 0.18261300 0.66623600 0.95417300 1.25287500 1.04510000 1.442276 0.02379900 12143
SB7_144 0.19198900 0.88320700 1.40336300 0.34856600 0.61501700 2.950521 0.06126000 12144
SB7_145 0.33633500 0.72316400 0.36411400 3.79926500 1.93143400 0.716510 0.02233500 12145
SB7_146 0.45593200 0.95016300 2.98299800 1.65351800 1.03257800 1.755039 0.07423400 12146
SB7_147 0.22239800 0.64302500 0.65614400 0.56862600 0.81564900 0.425917 0.03468500 12147
SB7_148 0.26814500 0.78519100 0.75968400 0.72538300 0.57927700 1.026817 0.08588300 12148
SB7_149 0.40939100 0.82044800 2.69035800 1.08848000 1.44983800 0.251861 0.04551200 12149
SB7_150 0.37895700 0.65605300 0.34316500 2.44412900 1.36153100 2.442947 0.05854300 12150
SB7_151 0.14857200 0.93796500 1.42582700 0.45377600 0.87471800 0.598797 0.01754800 12151
SB7_152 0.12202800 0.68513300 2.31217200 3.07877600 0.72417700 1.327369 0.07511100 12152
SB7_153 0.35551300 0.92177500 0.84639700 0.25646600 1.16261200 0.327641 0.03599100 12153
SB7_154 0.43602000 0.75492000 1.80965600 0.64175100 1.75356300 2.233234 0.06808400 12154
SB7_155 0.29152700 0.83860900 0.28232500 1.72828300 0.67717100 0.550855 0.02833900 12155
SB7_156 0.24899100 0.98394300 0.44239800 1.34328300 0.96511600 3.817698 0.05203200 12156
SB7_157 0.47932700 0.62213600 1.10596400 0.98591100 1.23358500 0.931379 0.01185700 12157
SB7_158 0.30985200 0.85138700 0.58866500 0.40208900 1.63359300 1.605601 0.08469300 12158
SB7_159 0.16846000 0.74287500 3.47186900 2.33845800 0.51394300 0.391453 0.04389400 12159
SB7_160 0.17323900 0.63723000 1.52784400 0.78977200 0.69956700 1.779911 0.05316900 12160
SB7_161 0.30508900 0.96914200 0.33441500 1.18570600 1.69724500 0.457932 0.01291300 12161
SB7_162 0.48717700 0.70396600 2.72351900 2.67689600 1.17532800 2.992523 0.08114100 12162
SB7_163 0.24114500 0.88922300 0.71859100 0.49673900 0.71626600 0.770449 0.04026200 12163
SB7_164 0.29939100 0.93138900 0.69914800 0.32026200 0.50840400 2.501769 0.07905400 12164
SB7_165 0.42814000 0.67425100 2.92310000 3.48664000 1.65156600 0.637701 0.03985400 12165
SB7_166 0.36020900 0.80203100 0.37455800 1.50925800 1.19414300 1.051474 0.06671600 12166
SB7_167 0.11732700 0.79198800 1.30622200 0.51963200 0.99709800 0.268197 0.02689100 12167
SB7_168 0.14078400 0.83271000 3.55306500 1.23274900 0.82443100 2.302051 0.08951300 12168
SB7_169 0.38676600 0.77419900 0.55084500 0.90585400 1.02147100 0.582711 0.04906300 12169
SB7_170 0.40477000 0.90266900 1.17238500 0.36744400 1.99497600 1.368418 0.05748700 12170
SB7_171 0.27277400 0.69086200 0.43583300 2.13444100 0.59536500 0.346610 0.01641200 12171
SB7_172 0.21773900 0.73619600 0.28733300 3.35378100 0.84689300 1.635468 0.06271000 12172
SB7_173 0.46057200 0.86988400 1.70295800 0.27923200 1.40641300 0.419118 0.02370400 12173
SB7_174 0.32860600 0.60381000 0.91180200 0.70251200 1.43445500 3.888295 0.07037000 12174
SB7_175 0.19971000 0.99045300 2.24161100 1.89287500 0.58555100 0.997142 0.03074000 12175
SB7_176 0.17783500 0.76059200 0.41320200 0.42291300 1.31954200 0.486866 0.07327900 12176
SB7_177 0.34423100 0.84583100 1.23657900 2.51129300 0.89980700 1.985509 0.03283100 12177
SB7_178 0.46369600 0.68064800 0.63295100 1.00361200 0.54789400 0.818556 0.06124300 12178
SB7_179 0.20836400 0.91259200 3.09213700 0.75337300 1.53652000 3.340520 0.02017100 12179
SB7_180 0.25089800 0.85782700 2.58531900 0.57174000 1.07955200 0.677978 0.05895100 12180
SB7_181 0.42039400 0.74776600 0.79059200 1.57478200 0.77778500 2.790804 0.01994800 12181
SB7_182 0.38989100 0.97554000 1.61185000 3.86136500 0.64125300 0.284949 0.08660200 12182
SB7_183 0.13140800 0.61843200 0.30357700 0.32842200 1.85680400 1.173725 0.04697400 12183
SB7_184 0.10795300 0.95935000 0.96055500 2.22714300 1.55401500 0.523776 0.06943000 12184
SB7_185 0.36333400 0.64751300 2.03748900 0.40428900 0.54190900 2.147775 0.02917700 12185
SB7_186 0.44376500 0.87598900 0.27236000 0.92893900 0.93061100 0.311351 0.07739300 12186
SB7_187 0.27751600 0.71749500 1.87596500 1.36521600 1.27629600 1.277546 0.03651500 12187
