# Name Omega_m, sigma_8 ASN1 AAGN1 ASN2 AAGN2 Omega_b seed
SB7_0 0.16219 0.84301 0.48957 2.60766 0.71953 1.27525 0.057100 12000
SB7_1 0.31613 0.75013 1.04373 0.48896 1.16694 0.64220 0.016808 12001
SB7_2 0.49819 0.92322 0.53172 0.77634 1.69003 1.96707 0.089762 12002
SB7_3 0.23012 0.68329 3.68107 1.15349 0.70452 0.99027 0.048845 12003
SB7_4 0.28525 0.73790 2.17764 1.48611 0.98994 1.52100 0.070120 12004
SB7_5 0.44229 0.85597 0.93856 0.50603 1.19943 0.76980 0.030962 12005
SB7_6 0.37439 0.62046 1.92520 0.31145 1.66318 1.17303 0.063094 12006
SB7_7 0.10316 0.98523 0.25415 3.42854 0.50618 0.59348 0.023309 12007
SB7_8 0.12975 0.63865 0.80635 0.35782 0.59919 1.58584 0.080911 12008
SB7_9 0.39778 0.95493 2.42700 2.10172 1.98778 0.80512 0.040503 12009
SB7_10 0.41581 0.72169 0.32246 1.21220 1.01490 1.02849 0.053572 12010
SB7_11 0.26172 0.88507 1.58443 0.88094 0.82760 0.52197 0.012538 12011
SB7_12 0.20357 0.94296 1.26857 0.69150 0.58342 1.33023 0.066309 12012
SB7_13 0.47475 0.65145 0.38570 1.84394 1.44349 0.67141 0.027267 12013
SB7_14 0.34276 0.82210 3.30360 3.26261 1.41176 1.72534 0.079283 12014
SB7_15 0.18557 0.78393 0.61865 0.27449 0.84134 0.87055 0.039616 12015
SB7_16 0.18869 0.96653 1.81996 1.03025 1.52581 0.60866 0.077155 12016
SB7_17 0.33338 0.62656 0.28073 0.76537 0.55030 1.23218 0.036744 12017
SB7_18 0.45288 0.89967 2.30028 0.43022 0.90633 0.93886 0.069806 12018
SB7_19 0.21920 0.70680 0.85078 2.58147 1.31371 1.90000 0.028770 12019
SB7_20 0.26484 0.66459 0.58573 3.92147 1.86471 0.72959 0.050077 12020
SB7_21 0.40644 0.92933 3.48922 0.33726 0.63676 1.46964 0.011033 12021
SB7_22 0.37591 0.79383 0.44499 0.58791 0.77425 0.56268 0.083042 12022
SB7_23 0.14538 0.81191 1.09952 1.60148 1.08733 1.13302 0.043372 12023
SB7_24 0.11879 0.76513 2.99893 0.95391 1.27148 0.82987 0.060849 12024
SB7_25 0.35251 0.82849 0.65265 1.38648 0.93675 1.67550 0.020555 12025
SB7_26 0.43292 0.69525 1.39566 2.26488 0.54390 0.53821 0.073501 12026
SB7_27 0.28837 0.91156 0.36612 0.41573 1.54428 1.08626 0.032581 12027
SB7_28 0.24574 0.86627 0.34111 0.27060 1.09821 0.69206 0.086384 12028
SB7_29 0.47632 0.72808 1.43442 2.91405 0.76684 1.40543 0.047223 12029
SB7_30 0.30675 0.99873 0.76336 1.82541 0.65765 0.89762 0.059347 12030
SB7_31 0.16531 0.60725 2.67743 0.60845 1.80606 1.82228 0.019561 12031
SB7_32 0.16994 0.71251 1.17804 3.59993 1.59506 0.92971 0.087752 12032
SB7_33 0.30213 0.88059 0.43373 0.30976 0.52655 1.83729 0.048671 12033
SB7_34 0.48413 0.64587 3.53178 0.53706 0.94682 0.60275 0.055404 12034
SB7_35 0.23795 0.96060 0.55416 1.46223 1.25787 1.19157 0.015698 12035
SB7_36 0.29610 0.81840 0.90681 1.12262 1.78676 0.55453 0.064400 12036
SB7_37 0.42519 0.77553 2.25399 0.83301 0.66480 1.10098 0.024187 12037
SB7_38 0.35716 0.94785 0.28887 0.47079 0.74239 0.71900 0.072364 12038
SB7_39 0.11412 0.65789 1.69391 2.82820 1.13445 1.42800 0.031525 12039
SB7_40 0.13753 0.91756 2.73947 0.29452 1.32807 0.53153 0.053941 12040
SB7_41 0.38376 0.67607 0.71441 3.17534 0.89647 1.05324 0.014978 12041
SB7_42 0.40167 0.84750 1.52025 1.99988 0.56849 0.81961 0.081592 12042
SB7_43 0.26963 0.75931 0.33609 0.66581 1.47688 1.62462 0.042003 12043
SB7_44 0.21449 0.61402 0.37263 0.87614 1.05248 0.89187 0.078211 12044
SB7_45 0.45757 0.98034 1.31298 1.27280 0.79994 1.75637 0.037880 12045
SB7_46 0.32550 0.74631 0.70312 2.06794 0.62985 0.68759 0.066175 12046
SB7_47 0.19656 0.85967 2.90655 0.37977 1.88528 1.35455 0.025219 12047
SB7_48 0.18094 0.68919 0.26795 1.62764 0.81860 1.93856 0.067680 12048
SB7_49 0.34738 0.90395 1.90684 0.55394 1.02599 0.96220 0.028714 12049
SB7_50 0.46695 0.76923 0.97620 0.33910 1.92404 1.25681 0.075341 12050
SB7_51 0.21137 0.83729 2.00481 3.73479 0.61900 0.62403 0.035750 12051
SB7_52 0.25400 0.99190 3.98656 2.38016 0.86924 1.16165 0.084464 12052
SB7_53 0.42355 0.60197 0.51264 0.44683 1.36651 0.57391 0.044131 12053
SB7_54 0.39314 0.87429 1.04499 0.71330 1.45941 1.50619 0.052439 12054
SB7_55 0.13441 0.73140 0.46819 1.05857 0.57708 0.74437 0.011480 12055
SB7_56 0.11100 0.89087 0.62291 0.63192 0.68204 1.02181 0.073986 12056
SB7_57 0.36653 0.70271 3.14200 1.68307 1.74562 0.50309 0.034903 12057
SB7_58 0.44706 0.97414 0.42008 2.99415 1.15444 1.57563 0.061648 12058
SB7_59 0.28047 0.63263 1.21635 0.25220 0.72727 0.77601 0.021939 12059
SB7_60 0.23483 0.79051 1.63893 0.39170 0.51168 1.70398 0.058159 12060
SB7_61 0.49351 0.80390 0.29856 2.30188 1.64541 0.84413 0.017943 12061
SB7_62 0.32401 0.66987 2.54472 1.32047 1.23901 1.31369 0.086132 12062
SB7_63 0.15432 0.93616 0.80320 0.95914 0.95838 0.65102 0.045291 12063
SB7_64 0.15239 0.65393 3.20796 0.29960 0.58835 0.56650 0.071712 12064
