#Name	Omega0	sigma8	SNMomentumBoostFactor	TwindMassLoadingBoostFactor	BondiAccretionBoostFactor	AGNFeedbackTemperature	OmegaBaryon	HubbleParam	n_s	SFEfficiency	CritPhysDensity	Nspawn	SNIIEnergyBoostFactor	SNIaEnergyBoostFactor	HNfrac	ZHN	SNIIEventNumber	DesNumNgbFB	TwindCsndBoostFactor	TwindVwindBoostFactor	EddingtonAccretionBoostFactor	Cvisc	BHRadiativeEfficiency	AGNFeedbackEfficiency	SeedBlackHoleMass	MinFoFMassForNewSeed	Seed
1P_p1_n2	0.1	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p1_n1	0.2	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p1_0	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p1_1	0.4	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p1_2	0.5	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p2_n2	0.3	0.6	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p2_n1	0.3	0.7	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p2_0	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p2_1	0.3	0.9	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p2_2	0.3	1.0	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p3_n2	0.3	0.8	0.25	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p3_n1	0.3	0.8	0.5	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p3_0	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p3_1	0.3	0.8	2.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p3_2	0.3	0.8	4.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p4_n2	0.3	0.8	1.0	0.25	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p4_n1	0.3	0.8	1.0	0.5	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p4_0	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p4_1	0.3	0.8	1.0	2.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p4_2	0.3	0.8	1.0	4.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p5_n2	0.3	0.8	1.0	1.0	0.25	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p5_n1	0.3	0.8	1.0	1.0	0.5	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p5_0	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p5_1	0.3	0.8	1.0	1.0	2.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p5_2	0.3	0.8	1.0	1.0	4.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p6_n2	0.3	0.8	1.0	1.0	1.0	79000000.0	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p6_n1	0.3	0.8	1.0	1.0	1.0	158000000.0	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p6_0	0.3	0.8	1.0	1.0	1.0	316000000.0	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p6_1	0.3	0.8	1.0	1.0	1.0	632000000.0	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p6_2	0.3	0.8	1.0	1.0	1.0	1260000000.0	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p7_n2	0.3	0.8	1.0	1.0	1.0	3.16e8	0.029	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p7_n1	0.3	0.8	1.0	1.0	1.0	3.16e8	0.039	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
