#Name Omega_m sigma_8 A_SN1 A_AGN1 A_SN2 A_AGN2 seed
1P_p1_n2 0.10000 0.80000 1.00000 1.00000 1.00000 1.00000 67 
1P_p1_n1 0.20000 0.80000 1.00000 1.00000 1.00000 1.00000 67 
1P_p1_0  0.30000 0.80000 1.00000 1.00000 1.00000 1.00000 67 
1P_p1_1  0.40000 0.80000 1.00000 1.00000 1.00000 1.00000 67 
1P_p1_2  0.50000 0.80000 1.00000 1.00000 1.00000 1.00000 67 
1P_p2_n2 0.30000 0.60000 1.00000 1.00000 1.00000 1.00000 67 
1P_p2_n1 0.30000 0.70000 1.00000 1.00000 1.00000 1.00000 67
1P_p2_0  0.30000 0.80000 1.00000 1.00000 1.00000 1.00000 67 
1P_p2_1  0.30000 0.90000 1.00000 1.00000 1.00000 1.00000 67 
1P_p2_2  0.30000 1.00000 1.00000 1.00000 1.00000 1.00000 67 
1P_p3_n2 0.30000 0.80000 0.25000 1.00000 1.00000 1.00000 67 
1P_p3_n1 0.30000 0.80000 0.50000 1.00000 1.00000 1.00000 67
1P_p3_0  0.30000 0.80000 1.00000 1.00000 1.00000 1.00000 67 
1P_p3_1  0.30000 0.80000 2.00000 1.00000 1.00000 1.00000 67 
1P_p3_2  0.30000 0.80000 4.00000 1.00000 1.00000 1.00000 67 
1P_p4_n2 0.30000 0.80000 1.00000 0.25000 1.00000 1.00000 67 
1P_p4_n1 0.30000 0.80000 1.00000 0.50000 1.00000 1.00000 67
1P_p4_0  0.30000 0.80000 1.00000 1.00000 1.00000 1.00000 67 
1P_p4_1  0.30000 0.80000 1.00000 2.00000 1.00000 1.00000 67 
1P_p4_2  0.30000 0.80000 1.00000 4.00000 1.00000 1.00000 67 
1P_p5_n2 0.30000 0.80000 1.00000 1.00000 0.50000    1.00000 67 
1P_p5_n1 0.30000 0.80000 1.00000 1.00000 0.70710678 1.00000 67
1P_p5_0  0.30000 0.80000 1.00000 1.00000 1.00000 1.00000 67 
1P_p5_1  0.30000 0.80000 1.00000 1.00000 1.41421356 1.00000 67 
1P_p5_2  0.30000 0.80000 1.00000 1.00000 2.00000    1.00000 67 
1P_p6_n2 0.30000 0.80000 1.00000 1.00000 1.00000 0.50000    67 
1P_p6_n1 0.30000 0.80000 1.00000 1.00000 1.00000 0.70710678 67
1P_p6_0  0.30000 0.80000 1.00000 1.00000 1.00000 1.00000 67 
1P_p6_1  0.30000 0.80000 1.00000 1.00000 1.00000 1.41421356 67 
1P_p6_2  0.30000 0.80000 1.00000 1.00000 1.00000 2.00000    67 
