#Name Omega_m sigma_8 A_SN1 A_AGN1 A_SN2 A_AGN2 seed
LH_0 0.23360 0.75126 0.71392 1.68245 1.69801 1.75754 30000
LH_1 0.32165 0.97063 2.47354 0.34004 1.28329 1.37099 30001
LH_2 0.13802 0.95333 0.39016 1.02934 0.79747 0.89103 30002
LH_3 0.29926 0.79359 2.17552 1.05756 0.76991 1.90332 30003
LH_4 0.10865 0.75196 0.39978 3.95205 1.31840 0.72992 30004
LH_5 0.18898 0.65130 1.11967 1.08197 1.51151 1.12969 30005
LH_6 0.33411 0.60541 3.58524 2.48291 1.09593 1.07034 30006
LH_7 0.39196 0.78367 0.62153 2.26079 0.56165 0.57628 30007
LH_8 0.32589 0.82706 0.40507 1.97661 0.84552 1.82556 30008
LH_9 0.16018 0.85731 0.41139 0.65637 1.79049 1.14082 30009
LH_10 0.45776 0.96799 0.25630 0.71898 0.53389 1.83343 30010
LH_11 0.11505 0.89103 0.37763 1.06368 1.17735 1.20193 30011
LH_12 0.23319 0.97894 0.47450 1.76517 1.65125 0.84337 30012
LH_13 0.26480 0.75754 3.87827 0.37251 0.55029 0.84948 30013
LH_14 0.21426 0.69883 0.31011 3.23461 0.55811 1.25990 30014
LH_15 0.42217 0.83164 1.29111 3.13685 1.00103 1.67553 30015
LH_16 0.33127 0.74374 1.74635 1.65969 1.35699 1.18856 30016
LH_17 0.33737 0.88355 0.76997 0.29859 1.56377 0.60956 30017
LH_18 0.38188 0.72759 0.88423 0.50695 1.37464 0.82000 30018
LH_19 0.24028 0.82021 3.76750 1.43567 1.50204 0.65355 30019
LH_20 0.36649 0.63793 0.26923 3.88348 0.99816 1.73168 30020
LH_21 0.49174 0.95883 2.54833 0.68113 1.46651 0.75718 30021
LH_22 0.17246 0.65238 1.29573 0.40565 1.19866 0.67436 30022
LH_23 0.44749 0.77210 0.28454 0.30900 1.33561 0.62847 30023
LH_24 0.19034 0.75387 0.26750 1.13353 0.61066 0.85879 30024
LH_25 0.22478 0.74635 3.90659 1.44939 1.01024 0.70230 30025
LH_26 0.33259 0.75824 0.33991 0.80629 0.67154 0.81023 30026
LH_27 0.29733 0.64001 1.77858 0.29667 1.96852 0.64323 30027
LH_28 0.24627 0.83203 0.57470 2.55718 0.77560 0.76487 30028
LH_29 0.14485 0.95028 2.80492 0.36532 0.54988 0.73795 30029
LH_30 0.19695 0.69346 2.10349 2.11877 1.14501 0.67455 30030
LH_31 0.49270 0.89344 0.49918 0.40746 1.54396 0.54277 30031
LH_32 0.31936 0.88145 1.82531 2.93819 1.03100 0.95538 30032
