#Name Omega0 sigma8 WindEnergyIn1e51erg RadioFeedbackFactor VariableWindVelFactor RadioFeedbackReiorientationFactor OmegaBaryon HubbleParam n_s MaxSfrTimescale FactorForSofterEQS IMFslope SNII_MinMass_Msun ThermalWindFraction VariableWindSpecMomentum WindFreeTravelDensFac MinWindVel WindEnergyReductionFactor WindEnergyReductionMetallicity WindEnergyReductionExponent WindDumpFactor SeedBlackHoleMass BlackHoleAccretionFactor BlackHoleEddingtonFactor BlackHoleFeedbackFactor BlackHoleRadiativeEfficiency QuasarThreshold QuasarThresholdPower seed
1P_p1_n2    0.1   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p1_n1    0.2   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p1_0     0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p1_1     0.4   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p1_2     0.5   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p2_n2    0.3   0.6   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p2_n1    0.3   0.7   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p2_0     0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p2_1     0.3   0.9   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p2_2     0.3     1   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p3_n2    0.3   0.8   0.9     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p3_n1    0.3   0.8   1.8     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p3_0     0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p3_1     0.3   0.8   7.2     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p3_2     0.3   0.8  14.4     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p4_n2    0.3   0.8   3.6  0.25   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p4_n1    0.3   0.8   3.6   0.5   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p4_0     0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p4_1     0.3   0.8   3.6     2   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p4_2     0.3   0.8   3.6     4   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p5_n2    0.3   0.8   3.6     1   3.7    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p5_n1    0.3   0.8   3.6     1 5.233    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p5_0     0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p5_1     0.3   0.8   3.6     1 10.47    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p5_2     0.3   0.8   3.6     1  14.8    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p6_n2    0.3   0.8   3.6     1   7.4    10 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p6_n1    0.3   0.8   3.6     1   7.4 14.14 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p6_0     0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p6_1     0.3   0.8   3.6     1   7.4 28.28 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p6_2     0.3   0.8   3.6     1   7.4    40 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p7_n2    0.3   0.8   3.6     1   7.4    20 0.029 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p7_n1    0.3   0.8   3.6     1   7.4    20 0.039 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p7_0     0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p7_1     0.3   0.8   3.6     1   7.4    20 0.059 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p7_2     0.3   0.8   3.6     1   7.4    20 0.069 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p8_n2    0.3   0.8   3.6     1   7.4    20 0.049 0.4711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p8_n1    0.3   0.8   3.6     1   7.4    20 0.049 0.5711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p8_0     0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p8_1     0.3   0.8   3.6     1   7.4    20 0.049 0.7711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p8_2     0.3   0.8   3.6     1   7.4    20 0.049 0.8711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p9_n2    0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.7624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p9_n1    0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.8624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p9_0     0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p9_1     0.3   0.8   3.6     1   7.4    20 0.049 0.6711 1.062   2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p9_2     0.3   0.8   3.6     1   7.4    20 0.049 0.6711 1.162   2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p10_n2   0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624 1.135   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p10_n1   0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624 1.605   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p10_0     0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p10_1    0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  3.21   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p10_2    0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  4.54   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p11_n2   0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.1  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p11_n1   0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27 0.1732 -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p11_0     0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p11_1    0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27 0.5196 -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p11_2    0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.9  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p12_n2   0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.8     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p12_n1   0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3 -2.55     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p12_0     0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p12_1    0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3 -2.05     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p12_2    0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -1.8     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p13_n2   0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     4   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p13_n1   0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     6   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p13_0     0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p13_1    0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3    10   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p13_2    0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3    12   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p14_n2   0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8 0.025  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p14_n1   0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8  0.05  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p14_0     0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p14_1    0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.2  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p14_2    0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.4  0  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p15_0     0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1 0    0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p15_1    0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  1000  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p15_2    0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  2000  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
1P_p15_3    0.3   0.8   3.6     1   7.4    20 0.049 0.6711 0.9624  2.27   0.3  -2.3     8   0.1  3000  0.05   350  0.25 0.002     2   0.6 8e-05     1     1   0.1   0.2 0.002     2    67
