#Name Omega0 sigma8 WindEnergyIn1e51erg RadioFeedbackFactor VariableWindVelFactor RadioFeedbackReiorientationFactor OmegaBaryon HubbleParam n_s MaxSfrTimescale FactorForSofterEQS IMFslope SNII_MinMass_Msun ThermalWindFraction VariableWindSpecMomentum WindFreeTravelDensFac MinWindVel WindEnergyReductionFactor WindEnergyReductionMetallicity WindEnergyReductionExponent WindDumpFactor SeedBlackHoleMass BlackHoleAccretionFactor BlackHoleEddingtonFactor BlackHoleFeedbackFactor BlackHoleRadiativeEfficiency QuasarThreshold QuasarThresholdPower UVBH0beta UVBH0Deltaz UVBHepbeta UVBHepDeltaz SNIa_Rate_Norm SNIa_Rate_DTD_power SofteningComovingType01 seed
    SB35_0 0.49484 0.92096 0.9291 0.407 11.692 10.286 0.030145 0.5934 1.0497 1.2503 0.33417 -1.9275 9.6254 0.033297 787.3 0.056092 172.07 0.10632 0.004258 2.5292 0.72668 0.00010209 0.39463 0.18979 0.039801 0.23328 0.00017062 1.6484 8.6911 -0.77588 1.0781 -0.50453 0.0014984 1.1649 1.8553 25000
    SB35_1 0.19675 0.66352 4.3997 2.0977 5.3344 28.777 0.067695 0.76203 0.85037 3.5719 0.13472 -2.4187 6.7677 0.16489 2890.2 0.0070107 363.54 0.82771 0.00063153 1.6038 0.28339 5.7958e-05 2.0454 4.3702 0.19667 0.12465 0.016656 2.0022 1.046 -4.1827 0.26019 -0.23104 0.0012542 1.0275 2.953 25001
    SB35_2 0.29623 0.86423 3.0002 0.8509 4.604 21.786 0.039423 0.78025 0.95896 2.3619 0.27007 -2.5553 11.194 0.096895 3149.4 0.24969 499.36 0.19467 0.0017622 2.1545 0.96201 3.3469e-05 0.98201 0.85749 0.096079 0.09802 0.0014887 3.8573 3.8227 -3.0959 2.7552 -0.80589 0.0017091 0.94782 2.2584 25002
    SB35_3 0.39498 0.72005 14.302 1.3189 10.446 14.913 0.056853 0.54873 1.1411 1.6513 0.6717 -2.2986 4.3321 0.2212 1047.6 0.02026 289.24 0.45548 0.0029544 1.2282 0.40607 0.00017652 1.2745 1.0958 0.31122 0.59251 0.0046617 0.49247 0.62003 -2.1702 0.65431 -0.45416 0.0010712 1.3552 1.2129 25003
    SB35_4 0.32866 0.83902 5.4027 1.9635 8.3254 12.296 0.047733 0.82325 0.87867 4.3773 0.21679 -2.1028 10.073 0.11719 1937.7 0.047354 312.46 0.3333 0.001363 2.8647 0.64437 0.00013364 0.54452 2.754 0.25832 0.064225 0.00067571 2.7409 6.4055 -0.31326 2.9062 -0.63962 0.00089968 0.92009 3.3771 25004
    SB35_5 0.22974 0.79565 1.5988 0.64029 3.7444 33.669 0.050105 0.50404 1.0717 1.5637 0.81231 -2.7511 5.4619 0.04736 3853.1 0.32662 502.27 0.13201 0.0022975 1.7529 0.38775 7.8621e-05 1.6789 0.3799 0.051787 0.4629 0.010533 1.0967 1.7189 -4.4059 0.76907 -0.10039 0.0015414 1.2629 1.5881 25005
    SB35_6 0.13039 0.9946 7.905 2.9423 6.5655 25.494 0.036815 0.63827 0.96315 2.0792 0.41378 -2.4738 8.5122 0.31441 2124.1 0.0095496 434.85 0.51871 0.0065159 2.4908 0.86695 4.3896e-05 0.30909 7.0705 0.10109 0.30528 7.4493e-05 0.76234 2.1877 -3.3046 1.8721 -0.92518 0.0010827 1.1926 1.027 25006
    SB35_7 0.42841 0.63948 2.3555 0.28236 14.646 17.834 0.059462 0.71881 0.78726 2.9063 0.11025 -1.8723 7.905 0.068912 209.6 0.1353 226.2 0.08545 0.00097165 1.376 0.52278 0.00024006 3.8149 0.17418 0.031594 0.1945 0.037197 3.3995 0.8946 -1.7321 0.48215 -0.33919 0.0013307 1.1198 2.6109 25007
    SB35_8 0.4013 0.8925 9.5501 0.51109 6.1002 16.486 0.04569 0.86746 0.89078 1.9074 0.11996 -2.0259 5.7078 0.37803 3449.9 0.030748 455.08 0.38004 0.0011852 2.0281 0.66696 6.2857e-05 0.25917 2.0101 0.064319 0.26063 0.019628 1.2701 1.9349 -3.6919 3.8641 -0.41276 0.0014265 0.89298 3.1373 25008
    SB35_9 0.10241 0.74842 2.0142 1.5866 11.146 23.066 0.053086 0.48653 1.1089 2.6662 0.49826 -2.3281 10.819 0.05855 1348.7 0.37725 259.05 0.23222 0.0028253 1.1048 0.3228 0.00010876 3.1999 0.45872 0.20855 0.10228 0.00034604 2.8762 4.6968 -1.496 0.9326 -0.82678 0.0012207 1.2995 1.7464 25009
   SB35_10 0.20304 0.94884 6.5888 0.35329 8.8212 31.978 0.036377 0.65582 1.0003 3.3767 0.74766 -2.6444 7.1435 0.13788 612.91 0.014709 179.64 0.99203 0.007841 2.6554 0.84438 0.00019134 0.64241 7.7943 0.025515 0.077435 0.0023151 3.233 0.79229 -0.0828 1.5366 -0.15156 0.0016934 1.2198 1.3502 25010
   SB35_11 0.30107 0.6915 1.3839 3.6468 4.998 10.945 0.063961 0.67464 0.79937 1.2063 0.17971 -2.2017 8.2507 0.039379  2713 0.11715 382.01 0.089133 0.0008268 1.7273 0.58777 3.5632e-05 1.9801 0.10051 0.1262 0.68752 0.0012724 0.62035 2.9927 -4.7976 0.36491 -0.61233 0.00098141 1.0833 2.0289 25011
   SB35_12 0.37217 0.97288 3.5085 2.3967 4.351 19.925 0.033125 0.60009 1.0368 3.0617 0.53553 -2.1319 6.0294 0.082384 2291.7 0.086397 416.56 0.072071 0.0051276 2.3636 0.76199 4.7966e-05 0.82814 0.29964 0.1577 0.050736 0.0058272 2.3651 1.3598 -2.7092 1.3073 -0.29388 0.00092615 1.1284 1.4277 25012
   SB35_13 0.27411 0.61785 11.839 0.45936 7.8158 27.274 0.065651 0.732 0.81248 2.1406 0.25633 -2.7142 9.3871 0.26577 377.98 0.0060707 218.87 0.61208 0.00053774 1.2538 0.20607 8.0083e-05 1.0745 4.1707 0.049232 0.53714 0.00051845 1.9692 8.1001 -2.4057 0.34597 -0.94216 0.0016344 1.0546 3.7569 25013
   SB35_14 0.17356 0.81691 1.0734 1.1557 12.567 37.831 0.043923 0.81027 0.92108 1.3629 0.16855 -2.5072 4.5861 0.027704  1646 0.16214 342.47 0.15651 0.0015334 2.9918 0.92666 0.00014638 0.47304 0.67218 0.38588 0.34107 0.048828 0.14046 0.47552 -1.007 2.0854 -0.017001 0.0011654 0.98434 2.456 25014
   SB35_15 0.47233 0.77362 3.6076 0.75268 7.0191 13.231 0.056417 0.54203 1.1282 3.8935 0.35308 -1.8467 11.948 0.19387 3558.8 0.023401 546.32 0.28246 0.0036355 1.8751 0.48338 2.6289e-05 2.4527 1.6411 0.077278 0.15959 0.00013563 3.5259 4.1142 -3.7903 0.53707 -0.74352 0.0013675 1.3281 1.0919 25015
   SB35_16 0.45535 0.81243 1.8188 3.1847 9.9916 26.872 0.06799 0.80462 1.0982 1.5293 0.38802 -2.079 7.7089 0.10601 1382.5 0.064674 475.73 0.89028 0.0019241 2.5908 0.34935 4.1253e-05 2.6428 3.6508 0.16862 0.33006 8.2992e-05 3.6513 5.1937 -2.2975 3.2647 -0.85367 0.0014667 0.92523 1.1691 25016
   SB35_17 0.15345 0.75348 8.6091 0.25665 4.4124 18.395 0.030484 0.52266 0.90223 4.2885 0.15601 -2.775  8.82 0.042605  3295 0.0081084 285.91 0.099304 0.0032287 1.5424 0.69353 0.00022159 0.42757 0.26236 0.037176 0.17587 0.026912 0.014979 2.1205 -2.583 0.77524 -0.37702 0.0012082 1.2424 2.498 25017
   SB35_18 0.25361 0.95551 1.4681 1.8164 5.564 13.872 0.058442 0.61939 0.8077 2.7231 0.23322 -2.4507 5.1444 0.28908 2555.3 0.21583 152.75 0.40559 0.0046534 2.2178 0.56432 0.00012595 1.1612 1.4097 0.30388 0.069435 0.00075277 1.8447 2.6983 -3.9961 1.8016 -0.58569 0.0016497 1.2021 3.8418 25018
   SB35_19 0.3548 0.60982 6.9967 0.70344 12.22 38.818 0.040968 0.73768 0.99275 1.9501 0.57849 -1.8954 10.252 0.06369 641.74 0.017576 361.4 0.21755 0.00068956 1.1646 0.82095 7.2775e-05 0.75445 0.57724 0.085939 0.41856 0.0076213 2.4896 0.72512 -1.1918 0.43483 -0.18705 0.00099745 1.0949 1.5204 25019
   SB35_20 0.32118 0.92874 11.043 0.91976 14.079 22.479 0.050444 0.66223 0.83015 3.8084 0.19086 -1.9652 4.0305 0.030279 345.42 0.040886 440.13 0.17446 0.0059838 2.8011 0.2295 3.0411e-05 1.7656 0.52516 0.057837 0.091125 0.0016584 0.74585 7.4796 -1.2905 1.106 -0.96923 0.00093867 1.1698 2.1607 25020
   SB35_21 0.22002 0.68698 3.2672 1.2004 6.2647 15.724 0.048029 0.69321 1.0199 1.3344 0.71629 -2.3808 11.388 0.15079 2445.4 0.28368 248.67 0.25344 0.00089151 1.8162 0.78543 0.00016929 0.67924 2.3006 0.26482 0.6515 0.003373 3.1075 1.2149 -3.5069 0.28489 -0.25809 0.0015942 1.0072 1.3807 25021
   SB35_22 0.11979 0.88452  4.04 0.376 3.9256 11.856 0.061007 0.84893 1.1144 1.6855 0.46924 -2.5958 6.587 0.090531 3717.3 0.010998 312.65 0.067554 0.0012506 2.4294 0.45681 9.2612e-05 2.8295 0.11725 0.033789 0.21687 0.00019009 2.7517 4.4421 -4.9055 2.435 -0.71669 0.0011494 0.9575 1.7763 25022
   SB35_23 0.42181 0.73101 1.2033 2.3077 8.6634 32.457 0.038404 0.48005 0.93562 2.415 0.12523 -2.2582 9.9485 0.20559 1616.4 0.15666 522.77 0.65311 0.0021099 1.4376 0.9001 5.5487e-05 0.27335 9.0953 0.11802 0.13706 0.01205 1.3946 0.53382 -0.20931 0.64433 -0.052554 0.0014112 1.3301 3.3593 25023
   SB35_24 0.44851 0.97763 4.672 1.0449 5.2148 36.665 0.052132 0.63141 0.84225 2.1864 0.10381 -2.1676 11.626 0.075348 2856.6 0.035413 195.45 0.18238 0.0071862 2.0917 0.25683 0.00015332 3.3929 0.33183 0.23166 0.36687 0.054374 3.2749 1.1289 -4.6703 1.283 -0.19549 0.0014859 1.1369 2.7956 25024
   SB35_25 0.14738 0.63184 0.98563 0.81034 9.2227 12.548 0.04478 0.70067 1.057 3.1327 0.43189 -2.6785 4.7686 0.2418 941.94 0.43681 393.14 0.48611 0.00075707 1.0414 0.70012 2.9063e-05 0.32766 2.4063 0.065584 0.14514 9.8089e-05 0.88686 9.7521 -0.59572 0.30464 -0.53135 0.0012944 1.0307 1.0446 25025
   SB35_26 0.24712 0.83416 12.893 2.6475 10.664 17.288 0.061801 0.84145 1.1515 4.1542 0.86256 -2.5495 9.1948 0.025753 1205.1 0.0127 469.74 0.11846 0.0010852 2.7169 0.42951 5.0329e-05 1.4885 0.1493 0.13424 0.054576 0.0064893 1.2222 0.5728 -1.6825 2.2872 -0.48995 0.0017252 0.99034 1.624 25026
   SB35_27 0.34916 0.77511 2.7091 0.42728 5.8486 24.182 0.034173 0.51086 0.94772 1.4556 0.20767 -1.8043 6.3332 0.18123 3120.8 0.10175 265.89 0.74281 0.0025893 1.6656 0.98544 8.8676e-05 0.57281 6.059 0.029627 0.4885 0.00037494 2.6154 3.4171 -3.276 0.55207 -0.77882 0.0010275 1.3066 3.5965 25027
   SB35_28 0.37799 0.85664 1.7923 0.31984 7.3557 30.339 0.06474 0.78633 1.0853 2.4965 0.61124 -2.0002 8.0738 0.34022 3885.9 0.074681 332.52 0.55349 0.0016686 2.302 0.36432 0.00020822 1.3695 4.9927 0.042442 0.071624 0.0025781 0.36797 1.5502 -4.232 3.4913 -0.064899 0.00085947 0.9017 1.2917 25028
   SB35_29 0.27612 0.70303 6.0503 3.9209 13.072 10.611 0.032171 0.56765 0.86435 1.7878 0.29178 -2.3537 7.4627 0.052975 1783.8 0.0052666 528.55 0.080094 0.0039596 1.3153 0.62092 3.8086e-05 0.89008 0.21676 0.14811 0.76036 0.00092017 3.9818 5.864 -0.80472 0.89923 -0.66627 0.0015539 1.2752 2.3094 25029
   SB35_30 0.17625 0.90047 2.1935 0.56534 7.5113 14.612 0.054212 0.57444 0.76982 1.179 0.14807 -2.6234 10.513 0.1275 50.878 0.18694 408.55 0.29906 0.0055846 2.9284 0.54935 6.8214e-05 2.2167 1.2757 0.075866 0.24106 0.021857 2.1277 0.98896 -1.906 1.5436 -0.37493 0.0011264 1.2255 3.0034 25030
   SB35_31 0.47746 0.65861 7.3739 1.4738 4.1505 20.006 0.041762 0.75601 0.97986 3.306 0.30935 -2.2228 5.9062 0.036211 2153.9 0.027065 206.17 0.14714 0.00058516 1.9387 0.89351 0.00011591 0.3585 0.99853 0.34704 0.11311 0.00025027 1.5229 2.3969 -2.8131 0.40847 -0.89829 0.0013146 1.062 1.9866 25031
   SB35_32 0.48537 0.87015 6.2016 2.2598 14.268 24.671 0.057836 0.70786 0.91194 1.3025 0.80261 -2.7351 10.879 0.35804 3638.4 0.069942 242.56 0.1202 0.0020128 1.5739 0.93905 6.0336e-05 0.55539 1.0687 0.034816 0.39066 8.9624e-05 0.381 6.5833 -4.9575 0.39609 -0.24427 0.0009552 1.2361 2.5404 25032
   SB35_33 0.18748 0.71433 1.3043 0.36868 6.7417 16.888 0.040325 0.62727 1.0876 3.7161 0.22121 -2.1188 5.5219 0.050887 1535.2 0.0055724 446.43 0.73761 0.0011991 2.5588 0.49483 0.00011421 1.4376 0.77494 0.11148 0.15371 0.031937 3.7691 1.6712 -0.24032 1.668 -0.51767 0.0016073 1.0689 1.1512 25033
   SB35_34 0.28676 0.91342 10.174 1.2785 3.8035 12.706 0.068596 0.51501 0.99624 2.4741 0.11274 -1.8571 8.4395 0.12237 299.33 0.20218 516.47 0.18771 0.00085016 1.1956 0.77228 0.00019778 0.34511 4.8137 0.054649 0.058029 0.00078191 2.1213 2.336 -1.3459 0.85095 -0.44505 0.0011382 0.90671 1.4807 25034
   SB35_35 0.3857 0.67086 2.1313 0.98083 8.1989 35.555 0.031127 0.83427 0.80335 1.7274 0.40796 -2.4891 7.0784 0.038139 2401.6 0.024798 318.76 0.46885 0.0057395 2.1873 0.2157 3.4896e-05 3.5874 0.19535 0.27279 0.51667 0.0089393 1.728 0.83842 -3.5442 3.5258 -0.79645 0.0013965 1.2839 3.9502 25035
   SB35_36 0.33794 0.98978 1.1389 0.66229 10.05 20.645 0.060286 0.55958 1.0155 4.2072 0.13635 -2.3089 9.3271 0.071551 2605.1 0.032594 279.53 0.3238 0.00066115 1.7843 0.83367 4.6094e-05 0.37107 0.15538 0.29491 0.074629 0.001995 3.476 8.6297 -3.9527 0.58216 -0.10983 0.0014538 0.99899 1.4044 25036
   SB35_37 0.23922 0.6449 3.8328 1.708 4.7838 14.441 0.037875 0.79115 0.8336 1.5009 0.3275 -2.0372 6.2155 0.25189 689.52 0.47031 481.93 0.1369 0.0044392 2.8326 0.57778 8.4196e-05 2.2839 6.7458 0.090982 0.78801 0.0035933 0.86211 1.0527 -1.1718 2.2605 -0.64873 0.0011917 1.3116 2.1272 25037
   SB35_38 0.13967 0.84535 3.3157 0.26138 5.3656 10.855 0.051167 0.75115 0.925 1.9877 0.65687 -2.1896 11.759 0.026814 1457.6 0.013498 355.19 0.58207 0.0030968 1.4072 0.65503 0.0001508 0.84096 0.39657 0.17846 0.25086 0.00021995 1.0287 3.4874 -2.253 0.31525 -0.32605 0.0016645 1.1438 3.2721 25038
   SB35_39 0.43788 0.78873 11.113 3.2391 11.62 29.717 0.048558 0.58248 1.1241 2.7747 0.27393 -2.6643 4.651 0.17218 3372.2 0.094871 159.13 0.075584 0.0018349 2.4603 0.31168 2.566e-05 1.2998 3.1041 0.036091 0.11706 0.012688 2.6336 0.68015 -2.5542 1.1912 -0.91195 0.0010087 1.0412 1.8261 25039
   SB35_40 0.41683 0.94179 2.8622 1.505 6.8252 39.923 0.062291 0.52801 1.0534 1.8223 0.25063 -2.7612 6.9537 0.031547 100.76 0.037636 534.94 0.40166 0.00056257 1.0729 0.85501 0.0001053 0.71304 0.11317 0.073229 0.32065 0.057537 0.50521 1.4401 -2.02 0.59632 -0.8361 0.00087248 0.96432 1.0739 25040
   SB35_41 0.11814 0.69913 13.589 0.57656 12.919 13.663 0.034934 0.79629 0.84648 2.5438 0.54309 -2.0849 9.5653 0.14317 2201.7 0.30547 326.31 0.22016 0.0053421 2.0598 0.51168 5.6642e-05 1.1018 8.1328 0.36542 0.17178 0.0001172 3.1416 7.6428 -2.9482 2.511 -0.42199 0.0015704 1.3406 2.723 25041
   SB35_42 0.21856 0.89812 0.97125 3.6816 7.9485 18.881 0.051642 0.74605 0.93789 3.2434 0.3573 -1.8934 4.3971 0.086029  3961 0.011691 212.37 0.861 0.0038082 1.6966 0.63364 3.2194e-05 0.44239 0.43748 0.044675 0.06736 0.0067868 2.9994 0.49871 -4.3426 0.28209 -0.59932 0.0011118 1.1784 3.5407 25042
   SB35_43 0.3168 0.74221 4.6429 0.29992 4.2769 26.411 0.044018 0.61409 1.162 1.157 0.16516 -2.4605 11.005 0.21402  1861 0.14608 402.16 0.10249 0.0015955 2.6864 0.37777 0.00018576 2.7239 1.7914 0.14301 0.40831 0.00043092 1.3544 3.9258 -0.93331 1.1689 -0.13821 0.0013035 1.0122 1.6518 25043
