#Name Omega_m sigma_8 A_SN1   A_AGN1  A_SN2   A_AGN2  seed
LH_0  0.22400 0.97200 3.48220 3.29436 1.49485 0.63288 15000
LH_1  0.32000 0.94800 0.97265 3.89062 1.53688 0.65067 15001
LH_2  0.37600 0.70000 1.69349 0.73713 1.04247 0.66896 15002
LH_3  0.17600 0.93200 2.23457 2.78949 1.71713 1.13288 15003
LH_4  0.40000 0.63600 2.63902 0.40053 1.26576 1.37554 15004
LH_5  0.48000 0.67600 0.62417 1.69349 1.91853 1.49485 15005
LH_6  0.15200 0.68400 0.52851 0.62417 0.79004 1.41421 15006
LH_7  0.33600 0.82800 0.55864 1.43396 0.61557 1.23114 15007
LH_8  0.43200 0.89200 0.92019 2.11404 1.62450 1.26576 15008
LH_9  0.47200 0.73200 3.11666 3.68075 1.97247 0.95926 15009
LH_10 0.24000 0.62800 1.02811 0.33915 1.07177 0.90752 15010
LH_11 0.40800 0.71600 0.25703 1.35660 0.58237 1.10191 15011
LH_12 0.20800 0.84400 1.43396 0.87055 1.76541 0.72699 15012
LH_13 0.36000 0.62000 0.65975 0.44751 0.50698 0.85857 15013
LH_14 0.27200 0.85200 0.50000 2.49666 0.88270 1.30134 15014
LH_15 0.36800 0.86000 0.37893 2.23457 0.76844 1.62450 15015
LH_16 0.19200 0.88400 1.08673 2.63902 1.41421 0.76844 15016
LH_17 0.38400 0.87600 1.89212 0.47303 0.63288 1.04247 15017
LH_18 0.41600 0.61200 0.87055 2.00000 0.59874 0.52123 15018
LH_19 0.16800 0.60400 3.68075 0.59050 0.90752 0.59874 15019
LH_20 0.13600 0.69200 3.89062 0.35849 0.74742 1.33793 15020
LH_21 0.10400 0.78800 3.29436 0.69737 1.67018 0.61557 15021
LH_22 0.39200 0.66800 0.32086 0.25703 0.52123 1.86607 15022
LH_23 0.18400 0.72400 2.00000 2.36199 0.95926 1.71713 15023
LH_24 0.20000 0.82000 2.49666 0.42337 0.55095 0.50698 15024
LH_25 0.49600 0.90000 0.30355 0.30355 0.85857 0.74742 15025
LH_26 0.35200 0.74000 0.44751 1.14870 1.13288 1.01396 15026
LH_27 0.42400 0.94000 2.11404 1.79005 1.10191 1.16473 15027
LH_28 0.28800 0.81200 1.14870 0.28717 0.68777 0.79004 15028
LH_29 0.30400 0.75600 0.33915 0.97265 0.70711 1.91853 15029
LH_30 0.12800 0.65200 2.78949 1.08673 1.30134 0.53589 15030
LH_31 0.29600 0.95600 2.94854 0.37893 0.65067 0.56644 15031
LH_32 0.28000 0.76400 0.28717 0.92019 1.37554 1.67018 15032
LH_33 0.44000 0.91600 1.35660 1.28343 1.86607 1.58008 15033
LH_34 0.23200 0.66000 1.79005 0.50000 1.81504 0.98623 15034
LH_35 0.21600 0.90800 1.28343 1.89212 0.66896 1.81504 15035
LH_36 0.31200 0.99600 1.60214 0.82359 0.83509 0.88270 15036
LH_37 0.48800 0.70800 0.73713 0.27168 1.33793 1.53688 15037
LH_38 0.26400 0.79600 0.40053 1.60214 0.98623 1.19748 15038
LH_39 0.25600 0.92400 0.59050 0.32086 1.45397 0.83509 15039
LH_40 0.11200 0.86800 1.51572 0.52851 1.19748 0.55095 15040
LH_41 0.44800 0.74800 0.77916 1.21419 1.16473 0.70711 15041
LH_42 0.34400 0.78000 1.21419 1.02811 0.81225 0.58237 15042
LH_43 0.12000 0.98000 0.27168 3.11666 1.58008 1.76541 15043
LH_44 0.14400 0.83600 0.47303 3.48220 0.53589 0.81225 15044
LH_45 0.16000 0.96400 0.42337 0.77916 0.72699 1.45397 15045
LH_46 0.45600 0.98800 0.35849 0.55864 1.01396 1.07177 15046
LH_47 0.46400 0.80400 0.69737 2.94854 0.93303 0.68777 15047
LH_48 0.32800 0.64400 0.82359 0.65975 1.23114 0.93303 15048
LH_49 0.24800 0.77200 2.36199 1.51572 0.56644 1.97247 15049
