# Name Omega_m sigma_8 ASN1 ASN2 AAGN1 AAGN2 seed
1P_p1_n2 0.1 0.8 1.0  0.5  4 2 67
1P_p1_0  0.3 0.8 1.0  0.5  4 2 67
1P_p1_2  0.5 0.8 1.0  0.5  4 2 67
1P_p2_n2 0.3 1.0 1.0  0.5  4 2 67
1P_p2_0  0.3 0.8 1.0  0.5  4 2 67
1P_p2_2  0.3 0.6 1.0  0.5  4 2 67
1P_p3_n2 0.3 0.8 0.1  0.5  4 2 67
1P_p3_0  0.3 0.8 1.0  0.5  4 2 67
1P_p3_2  0.3 0.8 10.0 0.5  4 2 67
1P_p4_n2 0.3 0.8 1.0  0.05 4 2 67
1P_p4_0  0.3 0.8 1.0  0.5  4 2 67
1P_p4_2  0.3 0.8 1.0  5.0  4 2 67
1P_p5_n2 0.3 0.8 1.0  0.5  2 1 67
1P_p5_0  0.3 0.8 1.0  0.5  4 2 67
1P_p5_2  0.3 0.8 1.0  0.5  8 4 67
