# Name Omega_m sigma_8 ASN1 ASN2 AAGN1 AAGN2 seed
SB5_0 0.40205 0.68138 0.16125 0.08403 2 1 45000
SB5_1 0.29761 0.83991 9.54819 1.09726 6 3 45001
SB5_2 0.12109 0.70087 0.61420 0.20035 8 4 45002
SB5_3 0.37866 0.97042 1.05590 4.50936 2 1 45003
SB5_4 0.31205 0.75214 5.38652 2.40704 2 1 45004
SB5_5 0.18847 0.91993 0.28633 0.28227 8 4 45005
SB5_6 0.21813 0.63402 1.90929 0.56385 4 2 45006
SB5_7 0.48233 0.88805 0.34027 0.12241 2 1 45007
SB5_8 0.45042 0.73150 2.72415 0.41474 4 2 45008
SB5_9 0.24910 0.99018 0.42422 1.66699 2 1 45009
SB5_10 0.16940 0.65109 3.77641 0.09626 2 1 45010
SB5_11 0.33010 0.82059 0.22974 0.70386 6 3 45011
SB5_12 0.36037 0.60216 0.75845 1.52827 8 4 45012
SB5_13 0.13991 0.87030 1.51931 0.05928 2 1 45013
SB5_14 0.26649 0.78434 0.13047 3.74495 4 2 45014
SB5_15 0.43382 0.93813 6.63039 0.24579 4 2 45015
SB5_16 0.43985 0.79060 0.50852 0.66130 2 1 45016
SB5_17 0.26041 0.93186 3.02523 0.13911 6 3 45017
SB5_18 0.13388 0.62094 0.19110 2.73535 6 3 45018
SB5_19 0.36645 0.85152 3.39091 0.33103 2 1 45019
SB5_20 0.34907 0.66987 1.69972 0.17007 2 1 45020
SB5_21 0.15049 0.80181 0.90769 3.98600 4 2 45021
SB5_22 0.23013 0.73777 5.94396 0.07427 8 4 45022
SB5_23 0.46934 0.98391 0.10933 0.93137 2 1 45023
SB5_24 0.48841 0.64024 8.55491 3.17705 6 3 45024
SB5_25 0.21209 0.88183 0.13505 0.21712 2 1 45025
SB5_26 0.18239 0.77087 1.18061 1.35017 2 1 45026
SB5_27 0.31809 0.90120 0.73464 0.05029 4 2 45027
SB5_28 0.39758 0.71960 0.23831 0.11295 4 2 45028
SB5_29 0.10212 0.95169 4.83943 0.80031 4 2 45029
SB5_30 0.27869 0.68760 0.40811 0.47161 2 1 45030
SB5_31 0.42103 0.83369 2.12148 1.95615 8 4 45031
SB5_32 0.41766 0.70811 4.10539 1.00542 2 1 45032
SB5_33 0.28187 0.96357 0.21054 0.06880 4 2 45033
SB5_34 0.11154 0.67761 2.41077 4.26455 8 4 45034
SB5_35 0.38796 0.84407 0.47866 0.15897 2 1 45035
SB5_36 0.32136 0.62576 0.11883 0.35731 2 1 45036
SB5_37 0.17893 0.89671 7.29515 2.53424 6 3 45037
SB5_38 0.20237 0.75762 0.86589 0.14880 6 3 45038
SB5_39 0.49793 0.91484 1.33652 0.61819 2 1 45039
SB5_40 0.46616 0.65789 0.60127 2.09277 4 2 45040
SB5_41 0.23350 0.81340 1.08141 0.44080 4 2 45041
SB5_42 0.16010 0.72749 0.17097 0.86397 2 1 45042
SB5_43 0.33965 0.99380 9.00836 0.10463 8 4 45043
SB5_44 0.36991 0.77543 1.93423 0.05380 6 3 45044
SB5_45 0.13061 0.94663 0.33557 1.26220 2 1 45045
SB5_46 0.25089 0.60760 5.11820 0.23435 2 1 45046
SB5_47 0.44957 0.86448 0.30040 2.94335 4 2 45047
SB5_48 0.43065 0.61383 1.29557 0.13094 2 1 45048
